3.15805,3.17905
3.13818,3.14323
3.13022,3.13255
3.12607,3.12718
3.1236,3.12417
3.12194,3.12225
3.12073,3.12093
3.11982,3.11996
3.11912,3.11922
3.11858,3.11864
3.11814,3.11818
3.11779,3.1178
3.11749,3.11749
3.11723,3.11722
3.11701,3.117
3.11681,3.1168
3.11664,3.11662
3.11649,3.11647
3.11635,3.11633
3.11623,3.11621
3.11612,3.1161
3.11602,3.116
3.11593,3.11591
3.11585,3.11582
3.11576,3.11574
3.11568,3.11566
3.11561,3.11559
3.11555,3.11553
3.11549,3.11547
3.11544,3.11542
3.11539,3.11537
3.11534,3.11532
3.1153,3.11528
3.11526,3.11524
3.11522,3.1152
3.11519,3.11517
3.11515,3.11514
3.11512,3.1151
3.11509,3.11507
3.11506,3.11505
3.11504,3.11502
3.11501,3.11499
3.11499,3.11497
3.11496,3.11495
3.11494,3.11493
3.11492,3.11491
3.1149,3.11489
3.11488,3.11487
3.11486,3.11485
3.11485,3.11483
