3.17605,3.17756
3.16984,3.17319
3.16243,3.16551
3.15739,3.15926
3.15386,3.15517
3.15099,3.15203
3.1485,3.14936
3.14628,3.14701
3.14424,3.14489
3.14236,3.14295
3.1406,3.14114
3.13896,3.13946
3.13743,3.13789
3.13602,3.13643
3.13471,3.13508
3.13352,3.13385
3.13243,3.13272
3.13144,3.13169
3.13053,3.13075
3.1297,3.12989
3.12895,3.1291
3.12825,3.12838
3.12761,3.12772
3.12701,3.1271
3.12646,3.12653
3.12595,3.12601
3.12547,3.12552
3.12503,3.12506
3.12461,3.12463
3.12423,3.12424
3.12386,3.12386
3.12352,3.12351
3.12319,3.12318
3.12289,3.12287
3.1226,3.12258
3.12233,3.1223
3.12207,3.12204
3.12182,3.12179
3.12159,3.12155
3.12136,3.12133
3.12115,3.12111
3.12094,3.1209
3.12075,3.12071
3.12056,3.12052
3.12038,3.12033
3.1202,3.12016
3.12003,3.11999
3.11987,3.11983
3.11972,3.11968
3.11957,3.11953
