3.17734,3.17836
3.17215,3.17517
3.16329,3.16737
3.15759,3.1596
3.15379,3.15521
3.15069,3.15187
3.14785,3.14897
3.14512,3.14615
3.14261,3.14343
3.14025,3.14093
3.13804,3.13862
3.13606,3.13653
3.13431,3.13469
3.1328,3.1331
3.13149,3.13173
3.13035,3.13053
3.12933,3.12948
3.12842,3.12854
3.1276,3.12769
3.12684,3.12692
3.12615,3.12621
3.12551,3.12556
3.12492,3.12495
3.12437,3.1244
3.12386,3.12388
3.12338,3.1234
3.12293,3.12295
3.12252,3.12254
3.12213,3.12215
3.12177,3.12179
3.12143,3.12145
3.12111,3.12114
3.12082,3.12084
3.12054,3.12056
3.12027,3.12029
3.12002,3.12004
3.11979,3.11981
3.11957,3.11958
3.11936,3.11936
3.11916,3.11916
3.11897,3.11897
3.11879,3.11879
3.11862,3.11862
3.11846,3.11846
3.11831,3.11831
3.11817,3.11816
3.11804,3.11803
3.11791,3.1179
3.11779,3.11778
3.11768,3.11767
